date,router_id,window,n_history,eta,weight_baseline,weight_cycle,weight_ziping,weight_qimen,weight_meihua,weight_liuyao_hash
2025-01-02,rolling_hedge_all_20,20,0,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2025-01-03,rolling_hedge_all_20,20,1,1.8930184728248454,0.17123817062918936,0.1535952704496368,0.17641284612056468,0.1681216511733729,0.16201905788253862,0.16861300374469754
2025-01-06,rolling_hedge_all_20,20,2,1.3385661990458504,0.1712834799469915,0.14977606563275506,0.17315442590147462,0.1618124584670295,0.16902068511682788,0.17495288493492137
2025-01-07,rolling_hedge_all_20,20,3,1.0929347248663588,0.16960929256056267,0.15677480250183007,0.1648430251715212,0.1623101470645958,0.1679417637544724,0.17852096894701786
2025-01-08,rolling_hedge_all_20,20,4,0.9465092364124227,0.1709447472818842,0.15233858828610672,0.16645713507134066,0.16190246242474823,0.17189325754301793,0.17646380939290227
2025-01-09,rolling_hedge_all_20,20,5,0.8465835975798386,0.1718079265024655,0.1526248515625201,0.17087994235836151,0.16467685867484022,0.1661779039584442,0.17383251694336846
2025-01-10,rolling_hedge_all_20,20,6,0.7728215553472558,0.171615671753374,0.15838536474530235,0.1710294364586746,0.16317360024521116,0.167455220743742,0.16834070605369597
2025-01-13,rolling_hedge_all_20,20,7,0.7154937294779748,0.1724864409685254,0.1631384494422424,0.17340509145854088,0.16472913263574673,0.1614299216328318,0.16481096386211283
2025-01-14,rolling_hedge_all_20,20,8,0.6692830995229252,0.17091012527776886,0.1663574497672868,0.1710284790753722,0.1630326088243337,0.16331834957710373,0.16535298747813473
2025-01-15,rolling_hedge_all_20,20,9,0.6310061576082818,0.1727556609668256,0.16412423861156875,0.17088792322939111,0.16303580428576261,0.16145479912394503,0.16774157378250684
2025-01-16,rolling_hedge_all_20,20,10,0.5986250026900071,0.17168731391706404,0.16742807504436016,0.17108593715288084,0.16614863861852844,0.15982964060264357,0.16382039466452292
