year,n,log_loss,brier_score,roc_auc,accuracy,calibration_slope,probability_spread_return,model_id,best_C
2025,243,0.6952526457754574,0.25104809239875264,0.46167681239623687,0.5349794238683128,-0.9683338714072848,-0.0010985158651113766,market_baseline,0.01
2025,243,0.6944935408343508,0.25067009221029457,0.47834809075816265,0.522633744855967,-0.2698226521191709,-0.002429257179460622,rich_calendar,0.01
2025,243,0.69285810742252,0.2498451176799881,0.505672385168788,0.5267489711934157,0.1567931582033482,-0.001250458015723498,rich_calendar_plus_cycle,0.01
2025,243,0.6948611234850692,0.2508520299609969,0.48277531820697284,0.49794238683127573,-0.0969526154449853,-0.000768376069083484,rich_calendar_plus_ziping,0.01
2025,243,0.6909480827943352,0.24889826246851623,0.5000691754288877,0.5390946502057613,0.23160059905258273,-0.0011852695728465856,rich_calendar_plus_qimen,0.01
2025,243,0.6991313208320029,0.2529307864357529,0.47149972329828443,0.51440329218107,-0.47420545241788464,-0.0031961825180693466,rich_calendar_plus_meihua,0.01
2025,243,0.6923695437046624,0.24961979550241845,0.4930824571112341,0.5185185185185185,0.027819048434720755,-0.0028998842828790805,rich_calendar_plus_liuyao_hash,0.01
2026,150,0.6891833089181747,0.24801672706382594,0.5166336989750044,0.56,0.7489218933980651,0.0015842630194065808,market_baseline,0.01
2026,150,0.692210542677931,0.2495212922657323,0.5142959899298687,0.52,0.214332279063109,0.0014702888208148247,rich_calendar,0.01
2026,150,0.6957746795335055,0.25125556097866536,0.496673260204999,0.5266666666666666,-0.1427204603614075,-0.00023103246403896062,rich_calendar_plus_cycle,0.01
2026,150,0.6884636047375969,0.2476377346956582,0.5436072648804172,0.5533333333333333,0.6346284184855537,0.0012180382165409692,rich_calendar_plus_ziping,0.01
2026,150,0.6970675713917249,0.2518874679886001,0.49145837079661936,0.5333333333333333,-0.24213386589582211,-0.0008751584889357863,rich_calendar_plus_qimen,0.01
2026,150,0.6966565441910727,0.2517236331246456,0.4979320266139183,0.52,-0.1439239689157543,-0.00017973017251997987,rich_calendar_plus_meihua,0.01
2026,150,0.6895521104355776,0.24820933075826465,0.5274231253371696,0.54,0.5891719091524188,0.00286793101967886,rich_calendar_plus_liuyao_hash,0.01
