branch,negative_control,logloss_improvement_vs_rich_calendar,brier_improvement_vs_rich_calendar,auc_delta_vs_rich_calendar,accuracy_delta_vs_rich_calendar,best_C
liuyao_hash,1,0.0023279799971176462,0.0011501687687889006,0.014883304356988591,0.0050890585241729624,0.01
ziping,0,0.0012028450557901582,0.0006064192419603376,0.011985669880406613,-0.0025445292620865922,0.01
qimen,0,0.0003384020271112176,0.00019243834305832097,0.0045045045045045695,0.015267175572518998,0.01
cycle,0,-0.0003491353925223484,-0.0001518358678766485,0.009377798851483155,0.0050890585241729624,0.01
meihua,0,-0.004564582102800974,-0.002238421948151159,-0.010062694273220485,-0.0050890585241730735,0.01
