branch,shift_sessions,log_loss,brier_score,roc_auc,accuracy,logloss_improvement_vs_baseline,brier_improvement_vs_baseline
cycle,5,0.6946853384511563,0.2507535399309081,0.4929139665981771,0.5190839694656488,-0.0022003514071126,-0.0010801231866076
cycle,6,0.6954696496782825,0.2511151939717482,0.4896738844107265,0.5343511450381679,-0.0029846626342387,-0.0014417772274478
cycle,7,0.6904958492370337,0.2486584658367981,0.5187819398345714,0.5292620865139949,0.00198913780701,0.0010149509075022
cycle,8,0.6895998680321982,0.2482203371523855,0.5256308940519467,0.549618320610687,0.0028851190118455,0.0014530795919149
cycle,9,0.691687153720898,0.2492591801244984,0.5063221115852694,0.5267175572519084,0.0007978333231457,0.0004142366198019
cycle,10,0.6920161355225339,0.2494262345519589,0.5022654233180549,0.5139949109414759,0.0004688515215097,0.0002471821923414
cycle,11,0.6907975131125067,0.2488209311288942,0.5112744323270639,0.5368956743002544,0.001687473931537,0.0008524856154061
cycle,12,0.6910192174958575,0.2489270123069244,0.5116695643011433,0.5343511450381679,0.0014657695481862,0.0007464044373759
cycle,13,0.6939916269619415,0.2504068121582216,0.4974711553658922,0.5216284987277354,-0.0015066399178977,-0.0007333954139211
cycle,14,0.6943866907406454,0.250598337784618,0.4934144670986776,0.5139949109414759,-0.0019017036966016,-0.0009249210403176
cycle,15,0.6974701929131124,0.2521184528878228,0.4797165586639271,0.5063613231552163,-0.0049852058690686,-0.0024450361435224
cycle,16,0.6933892256486476,0.2501086132859595,0.5052947684526632,0.5368956743002544,-0.0009042386046038,-0.0004351965416591
cycle,17,0.6908540449089058,0.2488337266864781,0.5167799378325694,0.544529262086514,0.0016309421351379,0.0008396900578222
cycle,18,0.68932366250837,0.2480870624230602,0.5257889468415784,0.544529262086514,0.0031613245356737,0.0015863543212401
cycle,19,0.6901142718529885,0.2484844086982272,0.5180707022812286,0.5318066157760815,0.0023707151910552,0.0011890080460732
cycle,20,0.6942091605225881,0.2505144477123425,0.4903324377008588,0.5216284987277354,-0.0017241734785443,-0.000841030968042
cycle,21,0.6932755903164507,0.2500596473628991,0.4967335756809441,0.5165394402035624,-0.0007906032724069,-0.0003862306185986
cycle,22,0.6931712503313002,0.2500011329911528,0.4969706548653917,0.5318066157760815,-0.0006862632872565,-0.0003277162468524
cycle,23,0.6923018374182849,0.2495766723038343,0.5054001369790844,0.5292620865139949,0.0001831496257588,9.67444404661455e-05
cycle,24,0.6945449865863252,0.2506827399643095,0.4941783889152309,0.5216284987277354,-0.0020599995422815,-0.0010093232200091
cycle,25,0.6970627259932781,0.2519454484483693,0.4741320267636057,0.5038167938931297,-0.0045777389492344,-0.0022720317040689
cycle,26,0.6938857307746524,0.2503582891263297,0.4952320741794425,0.5139949109414759,-0.0014007437306087,-0.0006848723820293
cycle,27,0.6912814497733121,0.249077791765629,0.5085875349033244,0.5190839694656488,0.0012035372707316,0.0005956249786713
cycle,28,0.6885412693906622,0.2477015415057546,0.5286338970549497,0.5419847328244275,0.0039437176533815,0.0019718752385457
cycle,29,0.6901412133392201,0.2484942649328115,0.5219166534956009,0.5292620865139949,0.0023437737048236,0.0011791518114889
cycle,30,0.6913371858926229,0.2490941905606057,0.5165165165165164,0.5165394402035624,0.0011478011514207,0.0005792261836946
cycle,31,0.6918443940660101,0.2493551480690985,0.5033191085822666,0.5165394402035624,0.0006405929780336,0.0003182686752018
cycle,32,0.691223762050828,0.2490488161256442,0.5031083715294242,0.5216284987277354,0.0012612249932156,0.0006246006186562
cycle,33,0.6911635900070998,0.2490236348902875,0.5053474527158738,0.5241730279898219,0.0013213970369438,0.0006497818540129
cycle,34,0.6928427597170355,0.2498593034775521,0.4987882619461567,0.5012722646310432,-0.0003577726729917,-0.0001858867332516
cycle,35,0.6938049936948738,0.2503212764491228,0.5002897634476582,0.5089058524173028,-0.00132000665083,-0.0006478597048223
cycle,36,0.6922400418766129,0.2495536421485961,0.5025288446341079,0.5343511450381679,0.0002449451674307,0.0001197745957043
cycle,37,0.689540265085193,0.2482111936185057,0.5165428586481219,0.539440203562341,0.0029447219588507,0.0014622231257946
cycle,38,0.6911794902096435,0.249018491426925,0.5103524577208788,0.5292620865139949,0.0013054968344001,0.0006549253173754
cycle,39,0.690593940680375,0.2487268365054378,0.5155681997787261,0.5292620865139949,0.0018910463636686,0.0009465802388625
cycle,40,0.6901415086014235,0.2485108638929072,0.51683262209578,0.5318066157760815,0.0023434784426201,0.0011625528513932
cycle,41,0.6917318346887115,0.2493047175422972,0.5038459512143723,0.5216284987277354,0.0007531523553322,0.0003686992020032
cycle,42,0.6926347846976103,0.2497597154900431,0.4950213371266003,0.5292620865139949,-0.0001497976535665,-8.629874574273e-05
cycle,43,0.6921713137488521,0.2495184197944939,0.5035825298983194,0.5190839694656488,0.0003136732951916,0.0001549969498065
cycle,44,0.6932222270555674,0.250038134070679,0.5016595542911333,0.5089058524173028,-0.0007372400115236,-0.0003647173263785
cycle,45,0.6941621269932239,0.2505001978495285,0.4947842579421527,0.5114503816793893,-0.0016771399491801,-0.0008267811052281
cycle,46,0.6944323722174776,0.2506237866213242,0.4944944944944944,0.5190839694656488,-0.0019473851734338,-0.0009503698770237
cycle,47,0.6927536673835606,0.2497966804601429,0.5021337126600285,0.5318066157760815,-0.0002686803395168,-0.0001232637158424
cycle,48,0.6906134856841217,0.2487511857866401,0.5131710658026447,0.5318066157760815,0.0018715013599219,0.0009222309576603
cycle,49,0.6904542807332235,0.2486608516261489,0.5110900374058269,0.5343511450381679,0.0020307063108202,0.0010125651181514
cycle,50,0.6900480207986474,0.2484622144770057,0.5126969074337495,0.5343511450381679,0.0024369662453963,0.0012112022672947
cycle,51,0.691807460989698,0.2493349088269427,0.504372793846478,0.5318066157760815,0.0006775260543456,0.0003385079173577
cycle,52,0.6911952386531109,0.2490278004035226,0.5081660607976397,0.5190839694656488,0.0012897483909327,0.0006456163407777
cycle,53,0.6914231322680272,0.2491491553778683,0.5084294821136925,0.5343511450381679,0.0010618547760165,0.0005242613664321
cycle,54,0.6918242411075483,0.2493448986374974,0.5092460881934566,0.5292620865139949,0.0006607459364954,0.0003285181068029
cycle,55,0.6934492989201325,0.2501355559969055,0.4972340761814446,0.5216284987277354,-0.0009643118760888,-0.0004621392526051
cycle,56,0.6925677882535966,0.2496936131851358,0.5052420841894526,0.5343511450381679,-8.280120955284076e-05,-2.0196440835396068e-05
cycle,57,0.6942889230201094,0.2505516097140099,0.4898582793319636,0.5216284987277354,-0.0018039359760656,-0.0008781929697094
