branch,baseline_log_loss,baseline_brier_score,actual_log_loss,actual_brier_score,actual_logloss_improvement_vs_baseline,actual_brier_improvement_vs_baseline,null_count,actual_logloss_percentile_vs_shifts,empirical_logloss_p_one_sided,actual_brier_percentile_vs_shifts,empirical_brier_p_one_sided,null_logloss_mean_improvement,null_logloss_p95_improvement,null_brier_mean_improvement,null_brier_p95_improvement,shifts_beating_actual_logloss,shifts_beating_or_tying_actual_logloss
cycle,0.6924849870440437,0.24967341674430044,0.6911759173557873,0.24901311772275012,0.0013090696882563924,0.0006602990215503202,248,0.8870967741935484,0.11646586345381527,0.8911290322580645,0.11244979919678715,-0.0007452122332695421,0.0023412902224099028,-0.00036564843923842633,0.0011605557271330653,28,28
ziping,0.6924849870440434,0.24967341674430032,0.6910870517133705,0.2489779947820888,0.0013979353306728948,0.0006954219622115343,248,0.8709677419354839,0.13253012048192772,0.8709677419354839,0.13253012048192772,-0.0009653493513680491,0.0023401037422766044,-0.0004744400705795513,0.0011640980580223013,32,32
qimen,0.6924849870440434,0.24967341674430032,0.6916006445003968,0.24921714491001282,0.0008843425436465546,0.0004562718342875083,248,0.657258064516129,0.3453815261044177,0.657258064516129,0.3453815261044177,-1.0448357033617097e-05,0.0040254441586299846,-7.342039460275113e-07,0.00199829246743808,85,85
meihua,0.6924849870440437,0.24967341674430044,0.6974915875650793,0.2521504592027388,-0.005006600521035631,-0.0024770424584383832,248,0.0,1.0,0.0,1.0,-0.00012379526737591444,0.0026848324667338207,-5.9545332890723504e-05,0.0013358100824736837,248,248
