seed,log_loss,brier_score,roc_auc,accuracy,logloss_improvement_vs_baseline,brier_improvement_vs_baseline
92,0.6927068848296019,0.2497937011580787,0.48664453927611817,0.5038167938931297,0.00022922016063309236,9.738157085464882e-05
76,0.6927586009021165,0.249806366678469,0.48919972604183126,0.5063613231552163,0.00017750408811845197,8.471605046433961e-05
80,0.6928174290125203,0.2498329373510363,0.49346715136188823,0.49872773536895676,0.000118675977714644,5.814537789705643e-05
47,0.6928712099514287,0.24985506726943066,0.5004214741056847,0.5139949109414759,6.489503880624525e-05,3.6015459502686253e-05
79,0.6929322314901407,0.24989217094846575,0.48925241030504185,0.5368956743002544,3.873500094231375e-06,-1.0882195324024568e-06
82,0.6929351891889589,0.24988336126061658,0.4947052315473368,0.5114503816793893,9.158012760357437e-07,7.72146831676257e-06
48,0.6929704674838609,0.24990540445613238,0.49902534113060426,0.544529262086514,-3.4362493625983426e-05,-1.4321727199034795e-05
0,0.6932409820292832,0.2500324577202483,0.493993993993994,0.5419847328244275,-0.0003048770390482458,-0.00014137499131494646
8,0.6932518526267385,0.25004990536852334,0.4957852589431536,0.5038167938931297,-0.0003157476365035494,-0.00015882263958999498
62,0.69339624720615,0.2501166190822026,0.4892260681734366,0.5241730279898219,-0.0004601422159150603,-0.00022553635326927335
49,0.6934081191316129,0.2501190270444751,0.4907539118065434,0.5368956743002544,-0.0004720141413779855,-0.00022794431554173933
44,0.693468155975683,0.2501507572313925,0.484800590063748,0.5063613231552163,-0.0005320509854480626,-0.0002596745024591729
20,0.6934907082339983,0.2501707877715622,0.4848796164585639,0.49872773536895676,-0.0005546032437633297,-0.00027970504262886386
60,0.693525374627013,0.25018909220181723,0.48804067225119857,0.5165394402035624,-0.0005892696367780781,-0.0002980094728838867
75,0.6935394916441799,0.2501794621937909,0.48424740530003685,0.5165394402035624,-0.0006033866539449928,-0.0002883794648575466
33,0.6935762663764913,0.2501982436627215,0.4953374427058638,0.5318066157760815,-0.0006401613862563327,-0.0003071609337881309
45,0.693602356234581,0.2502113032001232,0.49228175543965014,0.5216284987277354,-0.00066625124434605,-0.0003202204711898471
52,0.6936472211705578,0.2502345422839229,0.49570623254833784,0.5089058524173028,-0.0007111161803228239,-0.0003434595549895447
11,0.693710805441579,0.2502690585186194,0.48090195458616514,0.5114503816793893,-0.0007747004513440903,-0.00037797578968606915
77,0.6937903648163921,0.25030354155196666,0.4860123281175913,0.5216284987277354,-0.0008542598261571666,-0.0004124588230333126
17,0.6938055945840097,0.25032183012061404,0.4938622833359676,0.5318066157760815,-0.0008694895937747527,-0.000430747391680697
37,0.693864812905443,0.2503517881546383,0.48793530372477745,0.49872773536895676,-0.0009287079152080491,-0.00046070542570497697
35,0.6939094450101994,0.2503755071945014,0.47613402876560773,0.5165394402035624,-0.0009733400199644082,-0.0004844244655680674
42,0.6939495909839284,0.2503907134302889,0.4794531373478742,0.5190839694656488,-0.0010134859936934415,-0.0004996307013555579
39,0.6939630734672676,0.2503942978018824,0.490990990990991,0.5368956743002544,-0.0010269684770326526,-0.000503215072949037
94,0.6941040852576811,0.250471432577252,0.48811969864601445,0.5139949109414759,-0.0011679802674461337,-0.0005803498483186731
63,0.694153150286288,0.2504992060877525,0.48179758706074494,0.5165394402035624,-0.0012170452960530431,-0.000608123358819157
50,0.6941826966596992,0.25051146427200743,0.48698698698698695,0.5139949109414759,-0.001246591669464281,-0.0006203815430740889
43,0.6942106306286693,0.2505244212575525,0.48382593119435224,0.4910941475826972,-0.0012745256384343318,-0.0006333385286191318
28,0.6942722686764665,0.250542502509029,0.48588061745956485,0.5216284987277354,-0.0013361636862315729,-0.0006514197800956412
71,0.694357888002918,0.250582666397712,0.48401032611558925,0.544529262086514,-0.001421783012683031,-0.0006915836687786392
15,0.6945000260713022,0.25064951904316235,0.4893314366998578,0.5318066157760815,-0.0015639210810672877,-0.0007584363142290051
72,0.6945165809480861,0.25065912880116437,0.48754017175069814,0.5216284987277354,-0.0015804759578511574,-0.0007680460722310212
65,0.6945285944109137,0.2506708733050698,0.49388862546757284,0.5343511450381679,-0.0015924894206787998,-0.0007797905761364743
70,0.6945531791399259,0.2506837617746066,0.4880406722511986,0.5165394402035624,-0.0016170741496909224,-0.0007926790456732613
46,0.6945547093284592,0.2506832865103417,0.48414203677361567,0.5012722646310432,-0.0016186043382242499,-0.0007922037814083738
55,0.6946008898221914,0.25072018064226725,0.47529108055423847,0.5114503816793893,-0.001664784831956423,-0.0008290979133339094
1,0.6946279108897226,0.25073545407585424,0.48061219113850695,0.5114503816793893,-0.0016918058994876972,-0.0008443713469208913
95,0.6946371136514305,0.25073338502885534,0.47679258205574,0.5165394402035624,-0.0017010086611956021,-0.0008423022999219931
51,0.6946821813988522,0.250775608942762,0.47655550287129245,0.5063613231552163,-0.0017460764086172365,-0.0008845262138286736
12,0.6946941561525719,0.25075543183344257,0.4830883515094041,0.4910941475826972,-0.00175805116233696,-0.0008643491045092211
69,0.6947091986231445,0.2507482286870878,0.48996364785838475,0.5292620865139949,-0.0017730936329095615,-0.0008571459581544483
7,0.6947462157354126,0.25078883587638157,0.47897897897897895,0.5216284987277354,-0.0018101107451776732,-0.0008977531474482214
13,0.6947826994012719,0.25078640014847525,0.4894894894894895,0.5216284987277354,-0.0018465944110369614,-0.0008953174195419078
89,0.6948129569419088,0.2508224667390739,0.4810600073757969,0.5165394402035624,-0.0018768519516738635,-0.0009313840101405346
5,0.6948527688690518,0.250846950612892,0.47847847847847846,0.49872773536895676,-0.0019166638788168378,-0.0009558678839586277
58,0.6948681339080907,0.25085168617821324,0.47947947947947955,0.5063613231552163,-0.0019320289178557104,-0.0009606034492798954
73,0.6949594147866723,0.25089342380873975,0.48580159106474907,0.5114503816793893,-0.002023309796437389,-0.0010023410798064014
