model_id,n,log_loss,brier_score,roc_auc,accuracy,calibration_slope,probability_spread_return
liuyao_hash,393,0.6906546484952147,0.24875975870958641,0.5043727938464782,0.5139949109414759,0.2777287277122003,-0.00013392333713858112
ziping,393,0.6917679819193334,0.24930195552068374,0.504451820241294,0.5165394402035624,0.08130513182342307,0.0013800131116654107
hedge_all_v1,393,0.6921960211289842,0.24951807091327857,0.4947579158105474,0.5521628498727735,-0.0642923773665451,0.0004284326842097705
qimen,393,0.6923250840010613,0.2495715204247165,0.5015278436331068,0.5292620865139949,0.04558010481825844,0.0005688136212990046
cycle,393,0.6923334220078731,0.24958004165485312,0.5052947684526632,0.539440203562341,0.13009820593602087,0.0004001772494289179
hedge_traditional_v1,393,0.6926398565452085,0.24973730643656125,0.49370423054633583,0.549618320610687,-0.13771873928487408,-0.0005631202797972597
baseline,393,0.6929361049902361,0.24989108272893384,0.483983983983984,0.544529262086514,-0.24996239325515307,0.00029620838727393824
meihua,393,0.6975814834145544,0.25219247000919554,0.4743164216848428,0.5012722646310432,-0.5441820806705742,-0.0026591031666264183
