n,log_loss,brier_score,roc_auc,accuracy,calibration_slope,probability_spread_return,slice,model_id
393,0.692936104990236,0.24989108272893384,0.483983983983984,0.544529262086514,-0.24996239325515385,0.0002962083872739326,full_2025_to_end,baseline
393,0.6923334220078731,0.24958004165485312,0.5052947684526632,0.539440203562341,0.13009820593602037,0.00040017724942892417,full_2025_to_end,cycle
393,0.6917679819193334,0.2493019555206837,0.504451820241294,0.5165394402035624,0.08130513182342271,0.0013800131116654172,full_2025_to_end,ziping
393,0.6923250840010613,0.2495715204247165,0.5015278436331068,0.5292620865139949,0.04558010481825869,0.0005688136212990094,full_2025_to_end,qimen
393,0.6975814834145544,0.25219247000919554,0.4743164216848428,0.5012722646310432,-0.5441820806705745,-0.0026591031666264252,full_2025_to_end,meihua
393,0.6906546484952147,0.24875975870958641,0.5043727938464782,0.5139949109414759,0.27772872771220053,-0.00013392333713858212,full_2025_to_end,liuyao_hash
243,0.6952526457754585,0.2510480923987532,0.46167681239623687,0.5349794238683128,-0.9683338714072836,-0.0010985158651113766,year_2025,baseline
243,0.6916298020301415,0.24924178710448194,0.5103071389042613,0.5308641975308642,0.19152072386157643,-0.00037419418071848337,year_2025,cycle
243,0.6956500914391768,0.2512354153266434,0.4780713890426121,0.49794238683127573,-0.4726608792248636,0.0013936394111511538,year_2025,ziping
243,0.691238900681368,0.24903620077556662,0.5026978417266187,0.5349794238683128,0.04516667484635582,0.00019346367635479102,year_2025,qimen
243,0.700193035521779,0.2534890991452406,0.45040121748754836,0.5020576131687243,-0.9923069655810857,-0.0017323162602497946,year_2025,meihua
243,0.6932634285564611,0.250058633877584,0.48090758162700614,0.5061728395061729,-0.3559399958932206,-0.0014891617907161927,year_2025,liuyao_hash
150,0.6891833089181755,0.2480167270638264,0.5166336989750044,0.56,0.7489218933980577,0.0015842630194065808,year_2026,baseline
150,0.6934732863717978,0.25012801402645446,0.49793202661391844,0.5533333333333333,0.025980333808427243,0.0008948604776364906,year_2026,cycle
150,0.6854789644971873,0.24616975063502905,0.5464844452436611,0.5466666666666666,1.2830086000638892,0.0018361047285006316,year_2026,ziping
150,0.6940847009789641,0.2504387382563394,0.4984714979320266,0.52,0.007576896447681256,0.00032555821428564466,year_2026,qimen
150,0.6933507690008505,0.25009193080880254,0.508361805430678,0.5,0.14235085542008138,-0.0004494974153680278,year_2026,meihua
