model_id,C,fold,log_loss,n_validation
baseline,0.01,0,0.6957213582635373,829
baseline,0.01,1,0.68261825406494,829
baseline,0.01,2,0.6962440763176342,829
baseline,0.1,0,0.7044195516481647,829
baseline,0.1,1,0.6815648775958353,829
baseline,0.1,2,0.6993949671746167,829
baseline,1.0,0,0.7082403110116909,829
baseline,1.0,1,0.6815531640851729,829
baseline,1.0,2,0.7005671133324044,829
baseline,10.0,0,0.7087420455119283,829
baseline,10.0,1,0.6815613807984904,829
baseline,10.0,2,0.7007143513218671,829
cycle,0.01,0,0.698202381468425,829
cycle,0.01,1,0.6822830559587975,829
cycle,0.01,2,0.6946838547937303,829
cycle,0.1,0,0.7114115542455433,829
cycle,0.1,1,0.6829993700644449,829
cycle,0.1,2,0.7004526394218719,829
cycle,1.0,0,0.7193144507574002,829
cycle,1.0,1,0.6848625631375395,829
cycle,1.0,2,0.7043746495803995,829
cycle,10.0,0,0.7205014533788455,829
cycle,10.0,1,0.6853363296096543,829
cycle,10.0,2,0.7051143194779996,829
ziping,0.01,0,0.6945641618839592,829
ziping,0.01,1,0.6823806497349235,829
ziping,0.01,2,0.6961202692200028,829
ziping,0.1,0,0.7012469346546736,829
ziping,0.1,1,0.6820345327024199,829
ziping,0.1,2,0.7002428315450399,829
ziping,1.0,0,0.7042676315377313,829
ziping,1.0,1,0.6823368962082274,829
ziping,1.0,2,0.7017588437220308,829
ziping,10.0,0,0.7046652139897992,829
ziping,10.0,1,0.6823873398025518,829
ziping,10.0,2,0.7019469379924644,829
qimen,0.01,0,0.6980229069307178,829
qimen,0.01,1,0.6824064876532636,829
qimen,0.01,2,0.7011149063329785,829
qimen,0.1,0,0.7139531086376601,829
qimen,0.1,1,0.6857713755720217,829
qimen,0.1,2,0.7117429630676863,829
qimen,1.0,0,0.7228014364148143,829
qimen,1.0,1,0.6922033703471733,829
qimen,1.0,2,0.7163914467064066,829
qimen,10.0,0,0.7253285576257908,829
qimen,10.0,1,0.6958825630439658,829
qimen,10.0,2,0.7174758766748529,829
meihua,0.01,0,0.6967794560094375,829
meihua,0.01,1,0.6830172118216874,829
meihua,0.01,2,0.6966508677838126,829
meihua,0.1,0,0.7070973018735669,829
meihua,0.1,1,0.682061443718968,829
meihua,0.1,2,0.7020024992313201,829
meihua,1.0,0,0.7121791914170885,829
meihua,1.0,1,0.6822625546769532,829
meihua,1.0,2,0.7041385451746073,829
meihua,10.0,0,0.7129178404144226,829
meihua,10.0,1,0.6823153692530776,829
meihua,10.0,2,0.7044210161057033,829
liuyao_hash,0.01,0,0.6983378083870904,829
liuyao_hash,0.01,1,0.6838768865294963,829
liuyao_hash,0.01,2,0.6948225579857309,829
liuyao_hash,0.1,0,0.7211524775627197,829
liuyao_hash,0.1,1,0.6904634835013486,829
liuyao_hash,0.1,2,0.7003070427112036,829
liuyao_hash,1.0,0,0.7405505466251341,829
liuyao_hash,1.0,1,0.697991487165282,829
liuyao_hash,1.0,2,0.7055746826605545,829
liuyao_hash,10.0,0,0.7441130614053523,829
liuyao_hash,10.0,1,0.6993896734404133,829
liuyao_hash,10.0,2,0.7064984268392863,829
