model_id,negative_control,logloss_improvement_vs_baseline,brier_improvement_vs_baseline,auc_delta_vs_baseline,accuracy_delta_vs_baseline,spread_return_delta_vs_baseline,bootstrap_logloss_probability_positive,bootstrap_logloss_ci025,bootstrap_logloss_ci975,bootstrap_brier_probability_positive,bootstrap_brier_ci025,bootstrap_brier_ci975,mean_prob_up,forecast_up_rate
liuyao_hash,1,0.0022814564950212057,0.0011313240193474294,0.02038880986249414,-0.030534351145038108,-0.0004301317244125147,0.915,-0.0010976636727135015,0.006646944407180984,0.907,-0.0006397438135196694,0.0032847945934373138,0.5172441091819037,0.6793893129770993
ziping,0,0.001168123070902527,0.0005891272082501342,0.020467836257309968,-0.027989821882951627,0.0010838047243914846,0.811,-0.0015347850028383492,0.004389685448187619,0.8215,-0.0007433114291407527,0.0022260473760560397,0.5189858813216649,0.6870229007633588
qimen,0,0.0006110209891746488,0.0003195623042173412,0.01754385964912275,-0.01526717557251911,0.00027260523402507675,0.6575,-0.003062022146858587,0.005172280192396219,0.68,-0.0014385729642971794,0.002524923663948697,0.5165515877704832,0.648854961832061
cycle,0,0.0006026829823628788,0.0003110410740807257,0.021310784468679178,-0.0050890585241729624,0.00010396886215499157,0.6475,-0.0034752305028761593,0.006064124576629985,0.664,-0.001671286502310239,0.0030677768248606983,0.5174246727437813,0.628498727735369
meihua,0,-0.004645378424318447,-0.002301387280261691,-0.00966756229914123,-0.043256997455470736,-0.002955311553900358,0.0355,-0.009399230229396822,0.0004169816924627404,0.0315,-0.004818534825384084,0.00016577030979465592,0.5167161719291449,0.6412213740458015
