hypothesis_id,partition,test_kind,tests,min_family_fdr,max_abs_effect_std,median_abs_effect_std
ZIPING_001,development,registered,27,0.13230794920022246,0.09120781660693829,0.04572818083051715
ZIPING_001,development,shift_null,81,0.18382169298613257,0.12398480930180046,0.018570803211316995
ZIPING_001,sealed_holdout_v1,registered,25,0.06104024490105925,0.28517010389181446,0.05148440026602993
ZIPING_001,sealed_holdout_v1,shift_null,75,0.8596283911784312,0.22736149995704957,0.04727034363141511
ZIPING_001,validation,registered,25,0.4896212489308458,0.16424358475996884,0.0718243275780367
ZIPING_001,validation,shift_null,75,0.10233603453364376,0.29287558969514116,0.048757794919273
ZIPING_002,development,registered,11,0.001763394525114546,0.1633212515455627,0.05258421056352209
ZIPING_002,development,shift_null,33,0.0012846984327636673,0.15147683103640364,0.025573554242639858
ZIPING_002,sealed_holdout_v1,registered,10,0.2789960069619612,0.12567414426680212,0.02874398572379286
ZIPING_002,sealed_holdout_v1,shift_null,30,0.15950197458706375,0.16379923803696397,0.08714210345731913
ZIPING_002,validation,registered,11,0.2785399630993711,0.1717302049912447,0.036293299120825635
ZIPING_002,validation,shift_null,33,0.0044850703949433,0.23894851363411074,0.08072224522511161
ZIPING_003,development,registered,18,0.9003928567930464,0.05609832083590463,0.016834610520726864
ZIPING_003,development,shift_null,54,0.6116705470876757,0.15481552862250103,0.03081815192697415
ZIPING_003,sealed_holdout_v1,registered,14,0.2463907286509308,0.12041217536917105,0.06402255003483526
ZIPING_003,sealed_holdout_v1,shift_null,42,0.6594369974236262,0.2083889120039888,0.04310566187070755
ZIPING_003,validation,registered,15,0.492437647079255,0.17538016669463433,0.0470193543793274
ZIPING_003,validation,shift_null,42,0.48274975227985417,0.16859437060910318,0.04711750528115141
ZIPING_004,development,registered,18,0.2023967318783285,0.07153955785737527,0.02419034736617323
ZIPING_004,development,shift_null,54,0.04528235188683653,0.1166942168290045,0.019046039246965192
ZIPING_004,sealed_holdout_v1,registered,14,0.09220451594945812,0.16208453467130857,0.06271201432817052
ZIPING_004,sealed_holdout_v1,shift_null,42,0.007885285643269771,0.3318401723781162,0.058723305252257094
ZIPING_004,validation,registered,15,0.06757278260039733,0.23734869543144488,0.10152912903138644
ZIPING_004,validation,shift_null,42,0.0834699690703012,0.2864676200685041,0.05354481109971497
