model,n,log_loss,brier,auc,accuracy
baseline,393,0.6915756270582192,0.24920825080922696,0.49120172804383333,0.5419847328244275
ziping,393,0.6908570164693144,0.2488432970118564,0.5039249776091882,0.5318066157760815
