branch,R2_log_loss,R2_brier_score,R2_logloss_improvement_vs_R1,R2_brier_improvement_vs_R1,R3_log_loss,R3_brier_score,R3_roc_auc,R3_accuracy,R3_logloss_improvement_vs_R1,R3_brier_improvement_vs_R1,R3_minus_R2_logloss_improvement,R3_minus_R2_brier_improvement,null_R3_logloss_mean_improvement,null_R3_logloss_p95_improvement,R3_logloss_percentile_vs_shift_null,R3_logloss_empirical_p_one_sided,null_R3_brier_mean_improvement,null_R3_brier_p95_improvement,R3_brier_percentile_vs_shift_null,R3_brier_empirical_p_one_sided
cycle,0.6936535612615524,0.25023699283102424,0.0009121314914737333,0.0004613054778830339,0.6928392380958708,0.24981485591006133,0.4981560507876297,0.5343511450381679,0.001726454657155374,0.0008834423988459406,0.0008143231656816408,0.00042213692096290667,-0.001399481176169189,0.002098659141789999,0.8611111111111112,0.16216216216216217,-0.0006738884240240881,0.0010458968289260503,0.8611111111111112,0.16216216216216217
ziping,0.6933598796923294,0.25008783401268103,0.001205813060696781,0.000610464296226243,0.6938240171663809,0.25031874603065873,0.48883093619935725,0.5368956743002544,0.0007416755866452851,0.00037955227824854054,-0.00046413747405149586,-0.00023091201797770244,-0.003395310332616629,7.188717876585593e-05,0.9722222222222222,0.05405405405405406,-0.0016559414676681915,7.051755282548589e-05,0.9722222222222222,0.05405405405405406
qimen,0.6937851467770385,0.2502886166530205,0.0007805459759876454,0.0004096816558867844,0.6960167187991091,0.2514058322020395,0.47681892418734523,0.5139949109414759,-0.0014510260460829372,-0.0007075338931322173,-0.0022315720220705826,-0.0011172155490190017,-0.002147369683516519,0.0030136359915128863,0.5833333333333334,0.43243243243243246,-0.001050700564199768,0.001513833071488939,0.5833333333333334,0.43243243243243246
meihua,0.6995422521386947,0.2531553609509161,-0.004976559385668544,-0.002457062642008845,0.7009771482420052,0.25385604122269495,0.46501764922817557,0.5190839694656488,-0.006411455488979034,-0.0031577429137876756,-0.0014348961033104901,-0.0007006802717788307,-0.001245252937127893,0.0022731116044681365,0.0,1.0,-0.0005922788820780742,0.0011359389739966363,0.0,1.0
