branch,shift_sessions,log_loss,brier_score,roc_auc,accuracy,calibration_slope,probability_spread_return,logloss_improvement_vs_R1,brier_improvement_vs_R1
cycle,5,0.6969811623316311,0.2518761703294911,0.47913703176861067,0.5241730279898219,-0.34971957680981003,-0.0007941021902339268,-0.002415469578604945,-0.0011778720205838367
cycle,7,0.6934590513334067,0.2501083462889879,0.4975765238923133,0.5267175572519084,-0.025380174282581464,0.00017183907004753528,0.0011066414196194696,0.0005899520199193486
cycle,11,0.6931009493187233,0.24995730396070023,0.4912280701754386,0.5343511450381679,-0.06524114670161157,-0.0008462393743375339,0.0014647434343028065,0.0007409943482070414
cycle,13,0.6977297872734091,0.25224616695577917,0.4768979505821611,0.5343511450381679,-0.4367297329707583,-0.0010193701585185112,-0.0031640945203829096,-0.0015478686468718972
cycle,17,0.6946076547408548,0.2506629804765411,0.4953111005742585,0.5139949109414759,-0.12404060022419021,-0.0016223482127470654,-4.1961987828686986e-05,3.5317832366155155e-05
cycle,19,0.6925885856636443,0.2497005526325206,0.498445814235288,0.5190839694656488,0.01997821088403584,-0.0008270022019076136,0.0019771070893818132,0.0009977456763866632
cycle,23,0.6950053817752803,0.2508885384287436,0.48590695959117014,0.5241730279898219,-0.21557794896195231,-0.0008946597929063265,-0.00043968902225410833,-0.00019024011983631572
cycle,29,0.6924095239370529,0.2496083362196636,0.49881460407776196,0.5114503816793893,-0.005783967941335811,0.0007359317261444869,0.0021561688159732473,0.0010899620892436679
cycle,31,0.6954130801226379,0.25112767042380923,0.4694694694694695,0.5063613231552163,-0.39758272892376495,-0.0006348232299596298,-0.0008473873696117629,-0.00042937211490196026
cycle,37,0.6926541575240927,0.24974884584881396,0.4946525472841262,0.5318066157760815,-0.013965827762391882,-0.0003678192781208883,0.001911535228933503,0.0009494524600933141
cycle,41,0.6959460163528398,0.25138535585124117,0.4788999525841631,0.4910941475826972,-0.3160221298862005,-0.00017826348511463825,-0.0013803235998136598,-0.0006870575423338909
cycle,47,0.694721844838853,0.2507635628204217,0.48387861545756283,0.5292620865139949,-0.27302970634880835,-0.00023968898679813631,-0.00015615208582686613,-6.526451151445123e-05
cycle,53,0.692864910094926,0.24986413267320134,0.49080659606975396,0.5089058524173028,-0.05843808632349148,-0.00025248427444985117,0.0017007826581001417,0.0008341656357059302
cycle,59,0.6947078250116522,0.25074070912523455,0.48632843369685474,0.5063613231552163,-0.257565011420218,-0.0005477230153610492,-0.00014213225862602652,-4.241081632727628e-05
cycle,61,0.6956622343572957,0.25120848982523575,0.48348348348348347,0.5241730279898219,-0.2460399436837471,-0.0018477970801848845,-0.0010965416042695297,-0.0005101915163284731
cycle,67,0.6939647947616593,0.2503742421848229,0.48835677783046205,0.5190839694656488,-0.18477771931113024,-0.001111290388128754,0.0006008979913668666,0.0003240561240843709
cycle,71,0.6982500719540483,0.2525049210879186,0.4745798430008956,0.5012722646310432,-0.4396916199999986,-0.0011889603113924784,-0.0036843792010221588,-0.0018066227790113354
cycle,73,0.6977181628785579,0.25224160653611816,0.47473789579052733,0.5038167938931297,-0.45424276804342534,-0.0015239174478153443,-0.00315247012553177,-0.0015433082272108822
cycle,79,0.698804788815103,0.252777586512745,0.45769453664190507,0.5114503816793893,-0.6838528300518962,-0.0018911184640769982,-0.004239096062076841,-0.002079288203837737
cycle,83,0.6999609829862556,0.25332470911486343,0.45943311732785425,0.5089058524173028,-0.6647295216031993,-0.001379450960728326,-0.005395290233229488,-0.0026264108059561586
cycle,89,0.6985942603729896,0.25265574333790974,0.4640429903587798,0.5012722646310432,-0.605468462928897,-0.0006785858134045844,-0.004028567619963397,-0.001957445029002469
cycle,97,0.6947819934215422,0.2507612283099992,0.49199199199199195,0.5368956743002544,-0.18187517965273503,-0.001480551626551398,-0.00021630066851607843,-6.293000109192093e-05
cycle,101,0.6996102900482201,0.25319196872444555,0.46061851325009223,0.4910941475826972,-0.6044616244248988,-0.0024973531951191777,-0.005044597295193909,-0.002493670415538274
cycle,109,0.6924862035026306,0.2496670899000871,0.49001633212159523,0.5241730279898219,-0.018498538139221837,-0.0008350413923111926,0.002079489250395583,0.0010312084088201778
cycle,113,0.6960049913758106,0.251389842014744,0.4919656498603867,0.5343511450381679,-0.18541429222616493,-0.0005343398608667074,-0.0014392986227844684,-0.0006915437058367391
