branch,actual_log_loss,actual_brier_score,actual_roc_auc,actual_accuracy,actual_logloss_improvement_vs_baseline,actual_brier_improvement_vs_baseline,shift_null_logloss_mean_improvement,shift_null_logloss_p95_improvement,actual_logloss_percentile_vs_shifts,empirical_logloss_p_one_sided,shift_null_brier_mean_improvement,shift_null_brier_p95_improvement,actual_brier_percentile_vs_shifts,empirical_brier_p_one_sided
ziping,0.6911935709668247,0.24902962032731044,0.5043464517148728,0.5267175572519084,0.0014642341762923783,0.000728461513389761,-0.0008240003253208881,0.0021632367689247423,0.8611111111111112,0.16216216216216217,-0.000405108192465618,0.0010729690884357657,0.8611111111111112,0.16216216216216217
cycle,0.6914012972902011,0.24912360911427248,0.5086665612981403,0.5368956743002544,0.0012565078529159779,0.0006344727264277206,-0.0005945156397375554,0.002380068879456493,0.7777777777777778,0.24324324324324326,-0.00028849482641909855,0.001190938118160574,0.7777777777777778,0.24324324324324326
qimen,0.6918014523842175,0.2493154581673762,0.5015015015015015,0.5165394402035624,0.0008563527588995035,0.000442623673323983,-0.00039573011510669117,0.003755943903578446,0.7222222222222222,0.2972972972972973,-0.00019527984197933537,0.001858773899792783,0.7222222222222222,0.2972972972972973
meihua,0.6976097831624877,0.25220761453488294,0.47147147147147145,0.5063613231552163,-0.00495197801937064,-0.0024495326941827433,-8.080651376009428e-05,0.002643361174143294,0.0,1.0,-3.7375508832481535e-05,0.0013172685642083432,0.0,1.0
