branch,shift_sessions,log_loss,brier_score,roc_auc,accuracy,logloss_improvement_vs_baseline,brier_improvement_vs_baseline
cycle,5,0.6947852911654671,0.25080234280614905,0.49278225594015057,0.5114503816793893,-0.0021274860223500225,-0.001044260965448851
cycle,7,0.6906455345175463,0.24873234142888792,0.5175965439123333,0.5318066157760815,0.0020122706255707445,0.001025740411812276
cycle,11,0.6910742945169565,0.24895718211398593,0.5099573257467994,0.5343511450381679,0.001583510626160578,0.0008008997267142659
cycle,13,0.6942687539285616,0.25054304575724456,0.4952847584426532,0.5190839694656488,-0.0016109487854445437,-0.0007849639165443678
cycle,17,0.6912136925497979,0.24901161679727593,0.514277435330067,0.5368956743002544,0.0014441125933191135,0.0007464650434242659
cycle,19,0.6903250030115976,0.24858823630559687,0.5160160160160161,0.5292620865139949,0.002332802131519429,0.0011698455351033255
cycle,23,0.6924525911435057,0.2496507767141582,0.5037669248195564,0.5267175572519084,0.00020521399961137554,0.00010730512654200108
cycle,29,0.6902825908233557,0.2485640096685119,0.520388809862494,0.5318066157760815,0.0023752143197612874,0.0011940721721883096
cycle,31,0.6921364111159768,0.2494989256470877,0.5013171065802645,0.5165394402035624,0.0005213940271402429,0.00025915619361249753
cycle,37,0.6900243337412004,0.24844979327862496,0.51364522417154,0.5318066157760815,0.0026334714019166094,0.0013082885620752382
cycle,41,0.691940288609634,0.2494066536465824,0.5024761603708972,0.5190839694656488,0.0007175165334830647,0.00035142819411779214
cycle,47,0.6931760888324443,0.25000636286095257,0.49926242031505186,0.5318066157760815,-0.0005182836893272702,-0.0002482810202523722
cycle,53,0.6917527448581446,0.24931078233323833,0.5061377166640325,0.5343511450381679,0.0009050602849723921,0.0004472995074618624
cycle,59,0.6926934310534579,0.24976497276546172,0.5021073705284231,0.5165394402035624,-3.562591034089735e-05,-6.890924761526751e-06
cycle,61,0.6944228947370212,0.2506351304717725,0.4896475422791212,0.5114503816793893,-0.001765089593904201,-0.0008770486310722969
cycle,67,0.6931121734409196,0.24996179336360727,0.49984194721036834,0.5216284987277354,-0.0004543682978025432,-0.00020371152290707406
cycle,71,0.696486200401651,0.2516652248409624,0.4737632369211317,0.48346055979643765,-0.0038283952585339565,-0.0019071430002621792
cycle,73,0.6950199197006331,0.25091817439705566,0.48856751488330435,0.5190839694656488,-0.002362114557516115,-0.0011600925563554632
cycle,79,0.6963129395607897,0.2515697133086362,0.474342763816448,0.5089058524173028,-0.003655134417672623,-0.0018116314679360035
cycle,83,0.6963299300363368,0.25157025005508343,0.47858384700489964,0.5063613231552163,-0.0036721248932197748,-0.0018121682143832363
cycle,89,0.6937853252494937,0.2503012704973579,0.49188662346557094,0.5089058524173028,-0.0011275201063766227,-0.0005431886566577004
cycle,97,0.6929233497780293,0.2498777222707641,0.500263421316053,0.5063613231552163,-0.00026554463491224034,-0.00011964043006390535
cycle,101,0.6976138655235322,0.2522271099741546,0.4686001791264949,0.49872773536895676,-0.004956060380415184,-0.0024690281334543984
cycle,109,0.6902631725845749,0.24856818840721553,0.5128813023549865,0.539440203562341,0.002394632558542109,0.0011898934334846623
cycle,113,0.6926447818563458,0.24974831939612618,0.5003951319740794,0.5139949109414759,1.3023286771218778e-05,9.762444574012985e-06
cycle,127,0.6949281732836191,0.25087249145742857,0.48854117275169917,0.5419847328244275,-0.002270368140502077,-0.0011144096167283735
cycle,131,0.6926131418470288,0.2497242982666053,0.501001001001001,0.544529262086514,4.466329608820985e-05,3.378357409489219e-05
cycle,137,0.694615241744863,0.25072012579191455,0.48943680522627897,0.5216284987277354,-0.0019574366017459655,-0.000962043951214353
cycle,149,0.695155705132504,0.2509821557820514,0.48638111796006533,0.5241730279898219,-0.002497899989386987,-0.0012240739413512114
cycle,157,0.694179305649688,0.25050795703294765,0.48854117275169906,0.5292620865139949,-0.0015215005065709608,-0.0007498751922474511
cycle,167,0.6932685004939666,0.2500631795028717,0.4927295716769401,0.5038167938931297,-0.0006106953508495661,-0.00030509766217151624
cycle,181,0.6974526161906519,0.25214355578549613,0.46512301775459675,0.5216284987277354,-0.004794811047534875,-0.002385473944795935
cycle,197,0.6916647150525433,0.24926839627949732,0.5112744323270639,0.5368956743002544,0.0009930900905736895,0.0004896855612028794
cycle,211,0.6912794709255171,0.24907315606477434,0.49889363047257784,0.5318066157760815,0.0013783342175999191,0.0006849257759258542
cycle,227,0.6944032014933564,0.2506367792943382,0.48485327432695857,0.5139949109414759,-0.0017453963502394032,-0.0008786974536379999
cycle,241,0.6918378736320532,0.24935472565187566,0.5007902639481587,0.5267175572519084,0.0008199315110638539,0.00040335618882453295
ziping,5,0.6953090722663999,0.25105398533240986,0.47126073441862926,0.5139949109414759,-0.0026512671232828966,-0.0012959034917096601
ziping,7,0.6939880125938337,0.2504223908058592,0.4768189241873453,0.5216284987277354,-0.0013302074507166584,-0.0006643089651590106
ziping,11,0.6914159284034856,0.249128250486017,0.4974448132342869,0.539440203562341,0.0012418767396313868,0.0006298313546831968
ziping,13,0.6923297253657771,0.24958919882583422,0.4860913545124071,0.5419847328244275,0.0003280797773399513,0.00016888301486597812
ziping,17,0.6930149870152641,0.24991993145948815,0.4918866234655709,0.5165394402035624,-0.000357181872147061,-0.000161849618787957
ziping,19,0.6907749395500101,0.2488242551125221,0.5050313471366104,0.539440203562341,0.0018828655931069083,0.0009338267281780999
ziping,23,0.6961610306119118,0.25148760162215184,0.4717612349191297,0.5089058524173028,-0.0035032254687947795,-0.0017295197814516383
ziping,29,0.6944591836397741,0.25065224082029114,0.48019071703282235,0.5165394402035624,-0.001801378496657069,-0.0008941589795909421
ziping,31,0.6951916487161526,0.25100225822733735,0.47789895158316215,0.5038167938931297,-0.0025338435730355435,-0.0012441763866371525
ziping,37,0.6937088174494427,0.25027151131915887,0.4932037300458353,0.5190839694656488,-0.0010510123063256493,-0.0005134294784586713
ziping,41,0.6929606054788298,0.2499107463376166,0.4861176966440124,0.5165394402035624,-0.00030280033571272735,-0.00015266449691639372
ziping,47,0.692246021072335,0.24955023164749315,0.5005268426321058,0.539440203562341,0.0004117840707820175,0.00020785019320704312
ziping,53,0.6941917070772939,0.25052864449981865,0.48185027132395564,0.5343511450381679,-0.0015339019341769067,-0.0007705626591184567
ziping,59,0.696345734305774,0.25159008036098107,0.47613402876560773,0.49872773536895676,-0.003687929162656922,-0.0018319985202808753
